products,device type,model name,color,selling price,original price,display,rating (Out of 5),strap material,average battery life (in days)
fossil,smartwatch,q founder 2.0,blue,"11,397","18,995",amoled display,4.1,stainless steel,1
fossil,smartwatch,ftw1159 hybrid,gold,"8,995","12,995",amoled display,5,stainless steel,2
fossil,smartwatch,q wander,silver,"3,799","18,995",amoled display,4,stainless steel,1
fossil,smartwatch,ftw4010 gold hr,gold,"15,995","15,995",amoled display,4.8,stainless steel,6
fossil,smartwatch,ftw6009 black hr,black,"13,995","13,995",amoled display,4.1,leather,14
fossil,smartwatch,eleanor hybrid,"brown, gold","6,995","11,995",amoled display,4.6,stainless steel,12
fossil,smartwatch,ftw1146 q hybrid,gold,"11,995","11,995",amoled display,4.6,leather,2
fossil,smartwatch,jacqueline hybrid,blue,"6,995","11,995",amoled display,4.6,leather,12
fossil,smartwatch,ftw20013 q,black,"21,495","21,495",amoled display,4.6,leather,2
fossil,smartwatch,ftw5016 hybrid,silver,"6,995","14,495",amoled display,4.6,stainless steel,2
fossil,smartwatch,ftw5017 hybrid,gold,"14,495","14,495",amoled display,4.6,stainless steel,2
fossil,smartwatch,ftw1141 q hybrid,silver,"6,995","11,995",amoled display,4.6,stainless steel,2
fossil,smartwatch,sport,black,"17,995","17,995",amoled display,4.6,silicone,2
fossil,smartwatch,ftw5003 hybrid,gold,"12,995","12,995",amoled display,4.6,stainless steel,2
fossil,smartwatch,jacqueline hybrid,silver,"13,495","13,495",amoled display,4.6,leather,12
fossil,smartwatch,commuter hybrid,brown,"8,995","11,995",amoled display,4.6,leather,12
fossil,smartwatch,q machine,grey,"6,995","6,995",amoled display,4.6,stainless steel,1
fossil,smartwatch,fb-01 hybrid,"blue, silver","8,995","13,495",amoled display,3.9,silicone,14
fossil,smartwatch,q jacqueline,silver,"8,995","13,495",amoled display,4.4,silicone,1
fossil,smartwatch,q grant,grey,"6,995","6,995",amoled display,4.6,stainless steel,7
fossil,smartwatch,ftw2114 q,black,"18,995","18,995",amoled display,4.6,stainless steel,2
fossil,smartwatch,ftw1140 q hybrid,blue,"6,995","13,995",amoled display,3.8,stainless steel,2
fossil,smartwatch,garrett hr,grey,"14,995","22,995",amoled display,4.1,leather,14
fossil,smartwatch,ftw1134 q hybrid,gray,"11,995","11,995",amoled display,4.6,stainless steel,2
fossil,smartwatch,carlie hybrid,black,"6,995","11,995",amoled display,4.6,stainless steel,12
fossil,smartwatch,q control,multicolor,"15,995","15,995",amoled display,4.3,silicone,1
fossil,smartwatch,q control,brown,"15,995","15,995",amoled display,4.3,silicone,1
fossil,smartwatch,ftw1144 q hybrid,black,"8,995","13,995",amoled display,4.6,leather,2
fossil,smartwatch,rose gold hr,rose gold ,"21,995","21,995",amoled display,2.8,stainless steel,3
fossil,smartwatch,5th gen julianna,black ,"15,995","22,995",amoled display,4.6,stainless steel,1
fossil,smartwatch,q venture,white ,"4,399","21,995",amoled display,3.8,leather,1
fossil,smartwatch,q machine,black,"10,796","13,495",amoled display,4.6,stainless steel,1
fossil,smartwatch,ftw1145 q hybrid,gray,"6,995","13,995",amoled display,4.6,leather,2
fossil,smartwatch,ftw5011 hybrid,black,"8,995","14,495",amoled display,4.8,leather,2
fossil,smartwatch,ftw2120set q,gray,"23,995","23,995",amoled display,4.6,leather,2
fossil,smartwatch,ftw1136 q hybrid,blue,"11,995","11,995",amoled display,4.6,leather,2
fossil,smartwatch,q venture,beige,"15,995","15,995",amoled display,4.6,leather,1
fossil,smartwatch,ftw2115 q watch,red,"18,995","18,995",amoled display,4.6,stainless steel,2
fossil,smartwatch,ftw6010 pink hr,pink,"15,995","15,995",amoled display,4.4,stainless steel,14
fossil,smartwatch,q activist,brown,"6,995","6,995",amoled display,3,leather,1
fossil,smartwatch,carlie hybrid,silver,"8,995","13,495",amoled display,4.6,stainless steel,12
fossil,smartwatch,ftw1154 hybrid,black,"8,995","12,995",amoled display,4.3,stainless steel,2
fossil,smartwatch,ftw5015 hybrid,blue,"6,995","14,495",amoled display,3,stainless steel,2
fossil,smartwatch,sport,grey,"17,995","17,995",amoled display,4.6,silicone,2
fossil,smartwatch,sloan hr,gold,"21,995","21,995",amoled display,4.1,silicone,14
fossil,smartwatch,q grant,black,"6,995","6,995",amoled display,4.6,stainless steel,7
fossil,smartwatch,sport 41,"red, green","9,995","17,995",amoled display,4,silicone,2
fossil,smartwatch,ftw6006 gold hr,gold,"21,995","21,995",amoled display,3.7,stainless steel,6
apple,smartwatch,series 3 gps - 42 mm space grey aluminium case,black,"18,900","23,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se 44 mm space grey aluminium case,black,"30,400","32,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 3 gps - 38 mm space grey aluminium case,black,"16,900","20,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 44 mm aluminium case,black,"36,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 40 mm space grey aluminium case,charcoal,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se 40 mm space grey aluminium case,"black, pink, white","27,400","29,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm red aluminium case,red,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se 44 mm gold aluminium case,pink sand,"30,400","32,900",oled retina display,4.7,aluminium,1
apple,smartwatch,se gps + cellular 40 mm gold aluminium case,plum,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 40 mm aluminium case,black,"33,900","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps 40 mm silver aluminium case,white,"37,490","40,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm blue aluminium case,deep navy,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm graphite stainless steel case,graphite milanese,"67,900","73,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,series 6 gps 44 mm red aluminium case,red,"40,190","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps 44 mm aluminium case,black,"32,900","32,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm space grey aluminium case,black,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm space grey aluminium case,white,"69,900","69,900",oled retina display,4.2,aluminium,1
apple,smartwatch,series 5 gps + cellular 40 mm space black stainless steel case,black milanese,"69,900","69,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,series 5 gps + cellular 44 mm gold stainless steel case,gold milanese,"73,900","73,900",oled retina display,4.2,stainless steel,1
apple,smartwatch,series 6 gps 44 mm blue aluminium case,deep navy,"43,900","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 44 mm silver aluminium case,white,"48,490","52,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm gold aluminium case,pink sand,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm gold stainless steel case,cyprus green,"69,900","69,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,series 5 gps + cellular 40 mm stainless steel case,white,"65,900","65,900",oled retina display,3.4,stainless steel,1
apple,smartwatch,series 5 gps + cellular 44 mm gold aluminium case,pink sand,"52,900","52,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 5 gps + cellular 44 mm space grey aluminium case,black,"52,900","52,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 2 - 38 mm stainless steel case,saddle brown,"56,900","56,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,series 2 - 42 mm stainless steel case,white,"50,400","50,400",oled retina display,4.7,stainless steel,1
apple,smartwatch,series 2 - 42 mm space black stainless steel case,space black,"50,400","50,400",oled retina display,4.7,stainless steel,1
apple,smartwatch,series 6 gps + cellular 40 mm red aluminium case,red,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 5 gps + cellular 40 mm space grey aluminium case,black,"39,990","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm silver aluminium case,white,"45,690","49,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 40 mm gold stainless steel case,gold milanese,"67,900","73,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,se gps 40 mm aluminium case,black,"29,900","29,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 5 gps + cellular 44 mm stainless steel case,stainless steel milanese,"73,900","73,900",oled retina display,4.2,stainless steel,1
apple,smartwatch,series 5 gps + cellular 44 mm gold stainless steel case,stone,"69,900","69,900",oled retina display,4.2,stainless steel,1
apple,smartwatch,series 5 gps 40 mm silver aluminium case,white,"40,900","40,900",oled retina display,4.7,aluminium,1
apple,smartwatch,series 6 gps 44 mm blue aluminium case,deep navy,"43,900","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 7 gps 45 mm,black,"44,900","44,900",oled retina display,5,silicone,1
apple,smartwatch,se gps + cellular 44 mm space grey aluminium case,charcoal,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 40 mm space grey aluminium case,black,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps + cellular 44 mm space grey aluminium case,black,"48,490","52,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 7 gps + cellular 41 mm aluminium,black,"50,900","50,900",oled retina display,4.6,aluminium,1
apple,smartwatch,"series 7 gps + cellular, 45 mm aluminium",black,"53,900","53,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 40 mm silver aluminium case,white,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps 40 mm blue aluminium case,deep navy,"37,490","40,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps + cellular 40 mm silver aluminium case,deep navy,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps 40 mm gold aluminium case,pink sand,"37,490","40,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps + cellular 44 mm space grey aluminium case,black,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 40 mm gold aluminium case,pink sand,"31,400","33,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps + cellular 44 mm red aluminium case,red,"48,490","52,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps 40 mm space grey aluminium case,black,"37,490","40,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 44 mm silver stainless steel case,silver milanese,"77,900","77,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,nike series 5 gps + cellular 44 mm,black,"52,900","52,900",oled retina display,4.7,silicone,1
apple,smartwatch,series 6 gps + cellular 44 mm blue aluminium case,deep navy,"48,490","52,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps + cellular 40 mm gold aluminium case,silver milanese,"67,900","73,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps + cellular 44 mm gold aluminium case,pink sand,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 44 mm silver aluminium case,deep navy,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps 44 mm space grey aluminium case,black,"40,190","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,se gps + cellular 44 mm silver aluminium case,white,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 6 gps 44 mm silver aluminium case,white,"43,900","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 6 gps + cellular 44 mm graphite stainless steel case,black,"67,900","73,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,se gps + cellular 44 mm gold aluminium case,plum,"33,900","36,900",oled retina display,4.6,aluminium,1
apple,smartwatch,se gps + cellular 44 mm gold aluminium case,pink sand,"43,900","43,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 5 gps + cellular 44 mm space black stainless steel case,black,"69,900","69,900",oled retina display,4.2,stainless steel,1
apple,smartwatch,42 mm white ceramic case with cloud sport,cloud,"1,14,900","1,14,900",oled retina display,4.7,nylon,1
apple,smartwatch,series 7 gps 41 mm aluminium case,black,"41,900","41,900",oled retina display,5,aluminium,1
apple,smartwatch,38 mm space black stainless steel case,black,"48,900","48,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,"series 7 gps + cellular, 45 mm stainless steel",black,"77,900","77,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,sport 42 mm space grey aluminium case,black,"29,900","29,900",oled retina display,4.6,aluminium,1
apple,smartwatch,"series 7 gps + cellular, 45 mm stainless steel",black,"73,900","73,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,8 mm stainless steel case,milanese,"56,900","56,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,"series 7 gps + cellular, 41 mm stainless steel",black,"73,900","73,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,42 mm black stainless steel case with link bracelet,black,"79,900","79,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,42 mm space gray aluminium,black woven,"29,900","29,900",oled retina display,4.5,aluminium,1
apple,smartwatch,series 1 - 38 mm silver aluminium case,white,"21,900","21,900",oled retina display,4.6,aluminium,1
apple,smartwatch,series 3 gps + cellular- 42 mm gray ceramic case,black,"1,22,090","1,22,090",oled retina display,4.6,nylon,1
apple,smartwatch,42 mm stainless steel case,leather,"60,900","60,900",oled retina display,4.5,stainless steel,1
apple,smartwatch,series 1 - 42 mm gold aluminium case,cocoa,"25,900","25,900",oled retina display,4.6,aluminium,1
apple,smartwatch,2 - 42 mm silver aluminium case,pearl woven,"34,900","34,900",oled retina display,4.7,aluminium,1
apple,smartwatch,nike+ gps - 42 mm space gray aluminium case,black,"32,380","32,380",oled retina display,4.6,aluminium,1
apple,smartwatch,series 3 gps + cellular- 42 mm white ceramic case,black,"1,22,090","1,22,090",oled retina display,4.6,nylon,1
apple,smartwatch,38 mm stainless steel stainless steel case with modern buckle,black,"64,900","64,900",oled retina display,4.3,stainless steel,1
apple,smartwatch,8 mm stainless steel case,saddle brown,"56,900","56,900",oled retina display,4.3,stainless steel,1
apple,smartwatch,series 2 - 38 mm stainless steel case,blue modern,"64,900","64,900",oled retina display,4.6,stainless steel,1
apple,smartwatch,nike+ - 38 mm space gray aluminium case,black,"31,600","31,600",oled retina display,4.5,aluminium,1
